小鹏飞| 大豪科技|董秘你好，请问在你退休或者公司退市之前大豪还会提交重组申请恢复报告吗?|4小时前|感谢关注。|4小时前
大富大贵| 大豪科技|查阅大豪科技发行股份及支付现金购买资产报告书修订稿，本次交易尚未履行决策和审批程序有仅有股东大会、证监会核准、国家市场监督管理局反垄断局核准和其他法律规定的核准，目前是否有变化？|2022年02月24日 12:03|尊敬的投资者，您好，重组事项在公司股东大会、国家市场监督管理局反垄断局已通过审核，还须通过证监会等法律规定的核准，感谢关注。|2022年02月24日 13:35
nanolg@163| 大豪科技|尊敬的董秘您好。换律所了复核工作由新律所辅助完成对嘛？ 谢谢|2022年02月24日 10:37|尊敬的投资者，您好，重组事项并未更换律师事务所，大成律师事务所仅是公司日常生产经营的法律顾问。|2022年02月24日 11:16
假的小明| 大豪科技|董秘您好，2022年1月，大成律师事务所受聘担任大豪科技常年法律顾问，他们近期有哪些重点工作？|2022年02月24日 08:37|尊敬的投资者，根据合同，大成律师事务所为我司提供以下服务：（一）接受贵公司法律咨询，为贵公司解答相关法律问题，必要时出具法律意见书。 （二）根据贵公司的需要，参加贵公司的有关项目谈判，审查或准备谈判所需的相关法律文件，必要时出具法律意见书。 （三）根据贵公司的需要，对相应的项目建议书和可行性研究等提供法律意见。 （四）协助草拟、修改、审查贵公司在经营、管理以及对外联系活动中的合同以及其它有关法律文书和规章制度。 （五）就贵公司在经营、管理等方面的重大决策提出法律意见或从法律上进行论证，提供法律依据。 （六）为贵公司的商标权 、专利权 、著作权、商业秘密和专有经营权的保护提供法律建议，并协助贵公司制定保密制度和保密合同。 （七）根据贵公司的需要，列席重大会议，现场提供法律咨询。 （八）根据贵公司的需要，以法律顾问的名义对外签发律师函。 （九）协助贵公司建立、健全劳工制度，避免劳动争议的滋生，并协调相关劳动争议。 （十）协助贵公司解决可能发生在公司内的违法犯罪，并协助贵公司建立安全防范机制。 （十一）对贵公司内部工作人员提供相关法律法规培训。 （十二）对贵公司内部从事法律工作的人员进行工作支持及指导。 （十三）办理其它经双方协商一致的与贵公司有关的其它法律业务。|2022年02月24日 09:20
大嚎股友| 大豪科技|尊敬的董秘你好，广大股民希望你不要在盘中回复，有操作股价的嫌疑，虽然股价由市场决定但事实就是你每回复一次就跌一点，还是说盘后你也下班了只能在盘中回复，请解释下如此行事的理由。|2022年02月23日 18:22|尊敬的投资者您好，上交所E互动的要求如下：“1.上市公司发布信息前，应当审慎评估是否涉及市场热点概念、敏感事项，是否可能对公司股票价格产生较大影响。如属此类信息，应当通过指定媒体披露。 2.上市公司通过上证e互动平台发布信息，应当谨慎、客观，以事实为依据，确保信息真实、准确、完整。发布的信息不得与依法披露的信息相冲突，不得使用夸大性、宣传性、误导性语言，不得误导投资者，并充分提示相关事项的重大不确定性和风险。 3.上市公司通过上证e互动平台违规发布或泄漏未公开的重大信息、股价敏感信息的，本所将根据相关法律法规以及本所业务规则对公司和相关责任人予以严肃处理。”本公司所有回复严格遵守以上要求，感谢关注。|2022年02月24日 08:31
大富大贵| 大豪科技|近日国资委党委召开会议认真落实国务院国企改革领导小组部署要求，决战决胜国企改革三年行动，确保高质高量收官。贵公司有学习相关指示精神嘛？重组红星二锅头、北冰洋等一轻控股资产是否涉及相关股东国有企业改革任务？|2022年02月23日 16:19|尊敬的投资者您好，感谢关注。|2022年02月23日 16:46
小鹏飞| 大豪科技|董秘你一直回复根据相关法规，重组中止并无有效期及时间限制。你们是否利发布重组然后一直中止下去不提交恢复？当时你们是真的想重组还是为了别的目地呢|2022年02月23日 13:52|尊敬的投资者您好，本公司无应披未披信息。感谢关注|2022年02月23日 14:07
fhjvfhg| 大豪科技|贵公司投资的兴感半导体。未来是否会借贵公司的壳上市，还是会单独申请上市？2 复核资料是否准备完成。因去年8月21中止几十家公司目前就剩贵公司没有提交复核资料了。难道贵公司堂堂国企，还比不上民营企业？|2022年02月23日 10:40|尊敬的投资者您好，我司只是参股兴感半导体，目前公司未收到该司董事会关于进入资本市场的任何规划。另外个人认为不同的企业有不同的情况没有可比性。比如人与人之间许多时候看到的只是视力上的差距，其实实质是视野上的差距，视野的差距会让人看到的是不同的世界。感谢关注。|2022年02月23日 11:38
fhjvfhg| 大豪科技|贵公司是否需要等年报后再提交复核资料？|2022年02月22日 11:33|尊敬的投资者您好，复核材料与公司年报是否披露并不相关，感谢关注。|2022年02月22日 16:19
长红999| 大豪科技|董秘您好，请问复核材料是否已准备完毕？是否已提交监管部门？若没有提交，您预计本月末前会提交吗？ 感谢您答复|2022年02月22日 11:31|尊敬的投资者，复核材料还在准备中，如提交公司会及时公告。感谢关注|2022年02月22日 16:19
三生万物V| 大豪科技|董秘好！关于重组恢复审核问题，问了半年，我们对“尊敬的投资者，您好，公司目前无应披露而未披露信息，感谢关注。”已然失望！办事效率呢？曾经对重组充满激情、热泪盈眶到现在的望眼欲穿、望穿秋水。半年时间，地球已经绕太阳跑了半圈，你们的恢复审核工作还停滞不前。拿什么拯救你们呢，参与重组的同志！多久能出结果？|2022年02月21日 15:13|尊敬的投资者您好，公司会严格按照法律法规要求对重大事项进行及时披露，感谢关注。|2022年02月21日 16:01
