小鹏飞| 大豪科技|董秘你好，请问在你退休或者公司退市之前大豪还会提交重组申请恢复报告吗?|4小时前|感谢关注。|4小时前
终结的炽天使| 大豪科技|北冰洋还有信心坐回“第一国饮”的称号吗|2021年01月12日 09:53|尊敬的投资者，你好。受国民经济快速发展、消费者支付能力不断上升等因素的推动，白酒、食品及饮料行业近年来发展迅速，市场需求前景广阔。“北冰洋”品牌系列饮料产品在行业领域具有较高知名度，也是深受老百姓喜欢的民族品牌，重组后，公司将加大业务整合力度，依托资本力量，争取再创辉煌。谢谢。|2021年01月13日 08:57
终结的炽天使| 大豪科技|作为开国国宴用酒的红星现在还有雄心从茅台手里夺回国宴用酒地位吗|2021年01月12日 09:53|尊敬的投资者，你好。受国民经济快速发展、消费者支付能力不断上升等因素的推动，白酒、食品及饮料行业近年来发展迅速，市场需求前景广阔。“红星”品牌系列白酒为老百姓餐桌上的常用酒，有较深厚的文化底蕴，在行业领域具有较高知名度，重组后，公司将持续加大业务整合力度，依托资本力量，争取再创辉煌。谢谢。|2021年01月13日 08:57
智者乐山水| 大豪科技|请问你公司为了更好的发展红星酒业的品牌，是否有改名成红星酒业的公司名称？|2021年01月12日 12:57|尊敬的投资者，你好。关于更名需要重组后公司讨论决议是否必要，谢谢你的建议。|2021年01月13日 08:57
亮剑2018168| 大豪科技|董秘 您好！公司收购红星后，业绩会大幅改善，现金流将非常充沛，上市公司收购兼并能力提升，公司是否有计划兼并收购国内一些芯片半导体细分领域还未上市的独角兽企业，真正做到酒为科技所用？|2021年01月06日 14:38|您的建议会向董事会和公司管理层转达，感谢您的关注|2021年01月07日 13:49
亮剑2018168| 大豪科技|董秘 您好！假如公司被认定重组内幕交易，是否重组继续，相关泄密获利者受处罚？ 另外既然证监会有疑问，介入调查，为何不停牌，待调查完毕，重组完成后开盘？ 为何重组预案公布后要开盘，不直接停牌到证监会审核通过后开盘？|2021年01月06日 13:57|您好。本次交易属于大股东资产注入范畴。待公司及有关各方进一步完善本次重组的相关事项后，公司将再次召开董事会审议本次重大资产重组的相关事项，并由董事会召集股东大会审议与本次重大资产重组相关的议案，通过后才提交证监会审核，最终获得相关批准或核准的时间均不好预计。公司将按照相关规定及时履行信息披露义务，谢谢！|2021年01月07日 13:48
看涨哦| 大豪科技|尊敬的董秘您好随着资产的注入，工作量的繁忙，管理层们辛苦了，自从11月份大股东注入红星酒业资产至上市公司，导致红星酒业知名度品牌影响力暴增，红星酒的12月份销量是否也跟着爆炸增长？|2021年01月06日 16:12|您好，目前公司正组织独立财务顾问、律师事务所、审计机构及评估机构及有关各方进一步完善本次重组的相关事项，并将按照法律法规的规定履行有关后续审批及信息披露程序，有关红星的经营状况届时请关注公司公告。谢谢|2021年01月07日 13:48
亮剑2018168| 大豪科技|董秘 您好！请问公司预备何时开股东大会投票重组事宜？我们小股民有权投票吗？|2021年01月06日 14:30|你好，目前本次交易还需提交董事会审议，通过之后才会提交股东大会审议，具体时间请关注公司公告。按照法律规定，公司股东都有参与股东大会的权力。我们将严格按照信息披露的规则要求进行充分的信息披露，保障中小投资者知情权及投票权。谢谢。|2021年01月07日 13:41
亮剑2018168| 大豪科技|董秘您好，公司股东大会审议通过重组方案后，多久提交证监会审核？|2021年01月06日 14:31|您好，目前本次交易还需提交董事会、股东大会审议，最终获得相关批准或核准的时间均不好预计。谢谢。|2021年01月07日 13:40
亮剑2018168| 大豪科技|董秘 您好！麻烦告知下截止今天，公司股东人数，谢谢！|2021年01月06日 14:32|您好，请你关注公司定期报告披露数据，感谢关注。|2021年01月07日 13:39
亮剑2018168| 大豪科技|董秘 您好！最近公司股价波动很大，每天股价波动幅度都在10%以上，这极不正常，感觉是有资金恶意操控公司股价，影响公司重组，请公司留意|2021年01月06日 13:56|您好，二级股价波动受市场多重因素的影响，投资者应注意投资风险，谢谢|2021年01月07日 13:39
亮剑2018168| 大豪科技|尊敬的董秘 昨天又有媒体称，公司说重组存在不确定性，任何重组本来就存在不确定性！这种表述本没什么问题，所有重组的企业都会这样说，但是相关媒体过度的对此解读，是何用意？是公司安排的媒体这样报道的吗？|2021年01月06日 13:56|您好！谢谢您对公司的关注。公司将严格按照有关法律法规的规定和要求及时履行信息披露义务。《中国证券报》、《上海证券报》、《证券时报》及上交所网站为公司选定的信息披露媒体，公司所有信息均以在上述指定媒体刊登的信息为准。|2021年01月07日 13:37
亮剑2018168| 大豪科技|董秘 您好！请问公司是否有专业的律师团队？有律师团队不能白养着，应该为公司利益出发，弘扬社会正气，那么多媒体攻击我们，通过法律手段，应该能为公司获取不少利润，望公司考虑。|2021年01月06日 14:02|感谢您的建议，会及时转达管理层，若存在损害公司利益的情况下，我们会考虑。|2021年01月07日 13:37
小圣人说| 大豪科技|董秘你好，贵公司有没有跟君正集团开展合作？|2021年01月06日 08:52|尊敬的投资者，你好。目前公司暂无跟君正集团开合作，谢谢。|2021年01月06日 13:48
小圣人说| 大豪科技|董秘你好，贵公司股价下跌严重，是不是贵公司重组失败有关系？|2021年01月06日 08:52|尊敬的投资者，你好。股价近期大幅波动，更多是市场交易行为，请注意投资风险。关于重组的进展情况请以上交所网站的公司公告为准。|2021年01月06日 13:45
小圣人说| 大豪科技|董秘你好，贵公司有没有跟特斯拉开展合作？|2021年01月06日 08:52|尊敬的投资者，你好。目前公司暂无跟特斯拉展开合作，谢谢。|2021年01月06日 13:42
小圣人说| 大豪科技|董秘你好，贵公司提前泄露重组消息，如今可能重组失败？股票跌停，中小散户的损失，谁来承担？|2021年01月06日 08:52|尊敬的投资者，你好。目前公司重组正在正常推进中，关于重组的进展情况请以上交所网站的公司公告为准。而股价更多是市场交易行为，投资者需注意风险，理性投资。|2021年01月06日 13:41
投资者_东东先生| 大豪科技|兴感融资计划能公开吗？大豪会入股吗？|2020年12月31日 08:51|尊敬的投资者，你好。兴感是独立运作的非公众公司，其融资计划或方案由兴感公司推动。如果投资者感兴趣，可与兴感方面联系咨询。大豪科技只是兴感财务投资者，目前暂未收到方案及是否增资事宜展开讨论。谢谢！|2020年12月31日 10:04
风吹过脚丫| 大豪科技|董秘你好，请问贵公司近阶段的关于上交所问询函的回复工作中，有无不利的情况被审计发现。|2020年12月29日 16:06|尊敬的投资者，你好。有关问询回复正在抓紧进行中，请关注后边相关公告内容，谢谢！|2020年12月30日 08:35
